job_title,job_description,salary,location,position,company,date
Data Scientist,"Our client is a leading quant trading group who are actively looking for a data scientist/ machine learning quant. 
                    Our client is a leading quant trading group of a leading investment firm activly hiring a data scientist/machine learning quant analyst to research and develop machine learning algorithims.  
This is a great opportunity for a data scientist/ machine learning quant who may not necessarily work in quantitative trading to move into a quant trading position where you will develop alpha signals and sit closley with the finnacial m…
    ",Base plus Bonus,Hong Kong,"Permanent, Full time",Non-disclosed,Updated on: 08 Mar 18
"Data Scientist, Data Engineer roles","Big Data candidates! Are you looking for a new exciting opportunity this year? 
                    I specialize in recruiting for big data & BI/DW professionals in Hong Kong, working with clients that range from profitable and fast-growing start-ups to MNC’s across various industries.
Positions of focus (across all levels) include:
Data Scientists
Data Engineers
Data Analysts / Business analytics / CRM Analytics
Data Architects
Data Warehousing / ETL
Data Evangelists
Business Intelligence / Data Visualization
Our clients have many headcounts to fill in 2018 …
    ","50,000",Hong Kong,"Permanent, Full time",Terminal 1,Posted on: 13 Mar 18
Data Analytics Manager/Scientist - Regulatory Analytics (Bank),"As a global professional recruitment consultancy, Morgan McKinley connects specialist talent with leading employers across multiple industries and disciplines. We have established ourselves as a preferred supplier to many of the major players in our specialist sectors, as well as with thousands of smaller local employers. In Hong Kong, we recruit within the following sectors: Accounting & Finance, Banking and Financial Services, Human Resources, IT, Risk, Compliance, Legal & Audit, Office Support and Sales & Marketing. 
                    Our client is a glo…
    ",HKD60000 - HKD80000 per month,Hong Kong,"Permanent, Full time",Morgan McKinley Hong Kong,Updated on: 16 Mar 18
Python Developer / Data Analysis / Big Data - Elite Hedge Fund,"Our client, an growing hedge fund is looking for a Python Developer with a flair for Big Data / Machine Learning to build their Trading Strategies using Data Analysis 
                    Responsibilities:
Build scripts using Python to scrape various data sources
Build a cloud-based data storage repository 
Use Data Science / Data Analysis techniques to detect patterns in trading data
Act as a DevOps engineer to optimize development 
Practice continuous improvement, including giving and receiving constructive feedback
Requirements:
Minimum 3+ years' experienc…
    ",Excellent Remuneration,Hong Kong,"Permanent, Full time",Pinpoint Asia Limited,Posted on: 16 Mar 18
💥Data Engineer / Data Analyst 💥(⚒Engineering + 🗣Communication),"► Coming from an engineering background and always wanted to get into the business? ► Know modern big data technologies and like to share your knowledge with colleagues? Look no further, Terminal 1 has opportunities for you. We are developers too and understand your needs. 
                    Our clients ranged from profitable and fast-growing startups to public companies. All of them have great engineering and corporate cultures and truly invest in their teams. This job description covers multiple positions, the exact one would be tailored to you based on t…
    ",Negotiable,Hong Kong,"Permanent, Full time",Terminal 1,Updated on: 15 Mar 18
Data Engineer,"My client is a start-up company who are aggressively expanding their Data engineering/Analytics capabilities over the next 12 months. My client have business over multiple countries in more than 100 cities, this role will be responsible for designing and creating reports, as well as metrics dashboards. 
                    Main Responsibilities
Working as a part of growing data team, supports different functional departments across the region
Writing reting scripts, designing and creating reports and dashboards
Mentor junior team members
 
Qualification/Requi…
    ",Competitive,Hong Kong,"Permanent, Full time",Hamlyn Williams,Posted on: 12 Mar 18
"DATA MANAGEMENT, SENIOR MANAGER","An international asset management firm is looking for an outstanding candidate to join as Data Management, Senior Manager. The position is based in Hong Kong. 
                    International asset management firm
Excellent Exposure
Our client is an international asset management firm with an international presence. To cope with their business expansion, they are seeking an outstanding candidate to join them.
Responsible for establishing the data management program that ensures data quality is proactively managed and issues are identified, escalated and res…
    ",competitive package,Hong Kong,"Permanent, Full time",Recruitment Intelligence Consultants Limited,Posted on: 18 Mar 18
Manager - Analytic Data,"Manager - Analytic Data 
                    The Role / Responsibilities:  
Supervise a diverse and ambitious team of Financial Data Analysts (FDAs) responsible for capturing and presenting critical financial data for Corporate Finance related entities used in the credit rating process. Understand financial data and be able to analyze issues and challenges in order to develop and implement solutions. Work with management in cross functional teams and lead special projects including database development, process improvements and initiatives. 
Key Responsibilit…
    ",Competitive,Hong Kong,"Permanent, Full time",Moody's,Updated on: 18 Mar 18
Financial Market Data Associate,"Axioma Inc. is currently seeking a qualified professional to join our Content Services team as a full-time employee located in our Hong Kong office. In this role, the successful candidate will produce high quality value-added data, together with other financial market data for the research and application teams, and clients, using sophisticated quantitative and programming skills. The Associate will work closely with other team members in the Development, Research, and Client Support business units. 
                    Overview
Are you interested in joining …
    ",Competitive,Hong Kong,"Permanent, Full time",Axioma Inc.,Updated on: 16 Mar 18
Data & Document Specialist,"Data & Document Specialist 
                    Hong Kong 
City 
Hong Kong 
Job Type 
Full Time 
Your role 
Are you incredibly organized with an eye for detail? Do you know how to take care of business? We're looking for someone like that to: 
– review and process incoming documents for clients 
– provide client advisors support with document management 
– ensure that the document records correspond with data in the system 
– offer advice and support to client advisors when carrying out administrative tasks and managing archive systems 
Key tasks and responsi…
    ",Competitive,Hong Kong,"Permanent, Full time",UBS AG,Updated on: 17 Mar 18
"Senior Manager, Data Management","One of the leading asset management divisons is looking for a Senior Manager for their Data Management team. This person will be a key member of a senior team of data professionals responsible for establishing the data management program that ensures data quality is proactively managed and issues are identified, escalated and resolved in a timely basis. They will couple their data management experience with a solid understanding of the Investment Division's business and operations to implement the data strategy. 
                    Responsibilities:
Reportin…
    ",Negotiable,Hong Kong,"Permanent, Full time",Robert Walters Hong Kong,Posted on: 16 Mar 18
"Senior Manager, Data Analytics","Performing R&D to bring new uses of analytics into the insurance business by evaluating and testing new analytics techniques or use made in other industries (for instance: psychometric modeling, customer journey analytics, cognitive analytics, machine learning driven price elasticity optimization, etc.). thereby helping our OpCo’s and Group Companies achieve transformational steps in key areas such as IT, data strategy and management capabilities, people and organizational challenges to transform into Insights Driven Organization for lon…
                
    ",Highly Competitive,Hong Kong,"Permanent, Full time","HFG                    , EA Licence No:",Updated on: 13 Mar 18
